Date,Close,Date,Close,Date,Close
6/5/2023 16:00:00,179.58,6/5/2023 16:00:00,427.1,6/5/2023 16:00:00,354.9
6/6/2023 16:00:00,179.21,6/6/2023 16:00:00,428.03,6/6/2023 16:00:00,354.84
6/7/2023 16:00:00,177.82,6/7/2023 16:00:00,426.55,6/7/2023 16:00:00,348.82
6/8/2023 16:00:00,180.57,6/8/2023 16:00:00,429.13,6/8/2023 16:00:00,353.15
6/9/2023 16:00:00,180.96,6/9/2023 16:00:00,429.9,6/9/2023 16:00:00,354.5
6/12/2023 16:00:00,183.79,6/12/2023 16:00:00,433.8,6/12/2023 16:00:00,360.49
6/13/2023 16:00:00,183.31,6/13/2023 16:00:00,436.66,6/13/2023 16:00:00,363.26
6/14/2023 16:00:00,183.95,6/14/2023 16:00:00,437.18,6/14/2023 16:00:00,365.9
6/15/2023 16:00:00,186.01,6/15/2023 16:00:00,442.6,6/15/2023 16:00:00,370.26
6/16/2023 16:00:00,184.92,6/16/2023 16:00:00,439.46,6/16/2023 16:00:00,367.93
6/20/2023 16:00:00,185.01,6/20/2023 16:00:00,437.18,6/20/2023 16:00:00,366.9
6/21/2023 16:00:00,183.96,6/21/2023 16:00:00,434.94,6/21/2023 16:00:00,361.9
6/22/2023 16:00:00,187,6/22/2023 16:00:00,436.51,6/22/2023 16:00:00,366.17
6/23/2023 16:00:00,186.68,6/23/2023 16:00:00,433.21,6/23/2023 16:00:00,362.54
6/26/2023 16:00:00,185.27,6/26/2023 16:00:00,431.44,6/26/2023 16:00:00,357.68
6/27/2023 16:00:00,188.06,6/27/2023 16:00:00,436.17,6/27/2023 16:00:00,363.83
6/28/2023 16:00:00,189.25,6/28/2023 16:00:00,436.39,6/28/2023 16:00:00,364.54
6/29/2023 16:00:00,189.59,6/29/2023 16:00:00,438.11,6/29/2023 16:00:00,363.81
6/30/2023 16:00:00,193.97,6/30/2023 16:00:00,443.28,6/30/2023 16:00:00,369.42
7/3/2023 13:05:00,192.46,7/3/2023 13:15:00,443.79,7/3/2023 13:05:00,370.29
7/5/2023 16:00:00,191.33,7/5/2023 16:00:00,443.13,7/5/2023 16:00:00,370.28
7/6/2023 16:00:00,191.81,7/6/2023 16:00:00,439.66,7/6/2023 16:00:00,367.46
7/7/2023 16:00:00,190.68,7/7/2023 16:00:00,438.55,7/7/2023 16:00:00,366.24
7/10/2023 16:00:00,188.61,7/10/2023 16:00:00,439.66,7/10/2023 16:00:00,366.36
7/11/2023 16:00:00,188.08,7/11/2023 16:00:00,442.46,7/11/2023 16:00:00,368.17
7/12/2023 16:00:00,189.77,7/12/2023 16:00:00,446.02,7/12/2023 16:00:00,372.82
7/13/2023 16:00:00,190.54,7/13/2023 16:00:00,449.56,7/13/2023 16:00:00,379.15
7/14/2023 16:00:00,190.69,7/14/2023 16:00:00,449.28,7/14/2023 16:00:00,379.07
7/17/2023 16:00:00,193.99,7/17/2023 16:00:00,450.84,7/17/2023 16:00:00,382.61
7/18/2023 16:00:00,193.73,7/18/2023 16:00:00,454.19,7/18/2023 16:00:00,385.74
7/19/2023 16:00:00,195.1,7/19/2023 16:00:00,455.2,7/19/2023 16:00:00,385.65
7/20/2023 16:00:00,193.13,7/20/2023 16:00:00,452.18,7/20/2023 16:00:00,376.76
7/21/2023 16:00:00,191.94,7/21/2023 16:00:00,452.18,7/21/2023 16:00:00,375.63
7/24/2023 16:00:00,192.75,7/24/2023 16:00:00,454.2,7/24/2023 16:00:00,376.23
7/25/2023 16:00:00,193.62,7/25/2023 16:00:00,455.44,7/25/2023 16:00:00,378.78
7/26/2023 16:00:00,194.5,7/26/2023 16:00:00,455.51,7/26/2023 16:00:00,377.52
7/27/2023 16:00:00,193.22,7/27/2023 16:00:00,452.49,7/27/2023 16:00:00,376.62
7/28/2023 16:00:00,195.83,7/28/2023 16:00:00,456.92,7/28/2023 16:00:00,383.48
7/31/2023 16:00:00,196.45,7/31/2023 16:00:00,457.79,7/31/2023 16:00:00,383.68
8/1/2023 16:00:00,195.61,8/1/2023 16:00:00,456.48,8/1/2023 16:00:00,382.79
8/2/2023 16:00:00,192.58,8/2/2023 16:00:00,450.13,8/2/2023 16:00:00,374.39
8/3/2023 16:00:00,191.17,8/3/2023 16:00:00,448.84,8/3/2023 16:00:00,373.79
8/4/2023 16:00:00,181.99,8/4/2023 16:00:00,446.81,8/4/2023 16:00:00,372.04
8/7/2023 16:00:00,178.85,8/7/2023 16:00:00,450.71,8/7/2023 16:00:00,375.19
8/8/2023 16:00:00,179.8,8/8/2023 16:00:00,448.75,8/8/2023 16:00:00,372
8/9/2023 16:00:00,178.19,8/9/2023 16:00:00,445.75,8/9/2023 16:00:00,367.91
